Time,Speaker,Text
0:13,Sanyam Bhutani,"Hey, this is Sanyam Bhutani and you're listening to ""Chai Time Data Science"", a podcast for data science enthusiasts, where I interview practitioners, researchers, and Kagglers about their journey, experience, and talk all things about data science.

Sanyam Bhutani  0:46  
Hello, and welcome to another episode of the ""Chai Time Data Science"" show. In this episode, I interview Bart who has a computer science undergrad at the University of Waterloo. Bart has just finished his software engineering internship at Google. And in this interview, talk all about his internship where he worked on swift for TensorFlow and contributed to the project. We talk all about his experience interning at Google, swift for TensorFlow, and open speed. This is a part of the swift for TensorFlow really series, with the next episode being a interview with Dr. Marc Lanctot to a research scientist at DeepMind where we, of course, talk even more about safer TensorFlow research at DeepMind and of course, AlphaGo so do subscribe, or stay tuned if you'd like to check that episode out. For now, here's my interview with Bart. Please enjoy the show.

Sanyam Bhutani  1:54  
Hello Bart thank you so much for joining me on the podcast series."
1:58,Bart,"No worries, pleasure being here."
2:00,Sanyam Bhutani,"Pleasure to have you on the show. So you just finished your internship at Google, which was all about swift for TensorFlow, which we'll just talk about. You've also worked as a data science intern at a healthcare startup. You mentioned this, you know, offline conversations. Can you tell us how did you get started with machine learning or data science broadly speaking?"
2:19,Bart,"Sure. I can even go a bit further back where, when so when I enter university, I think I'll discuss a little bit later. But with our diversity, we got the opportunity to do a lot of internships. And my goal with all my internships where I wanted to try something new, every, every term. First, I tried full stack. And then I tried iOS as my second ship. And then I really kind of saw my friends and others kind of get into data science. And I kind of saw the buzz behind the unassigned and I was just thinking to myself, like, let me try this for a semester. Let's just see how it is. And because I did my iOS internship at the health startup, I went back to them and be like, Is there an opportunity for me to try Data Science. And they said, yeah, and that's really how it comes to data science was just kind of the already existing connection I had with previous employer. And just try it out myself and see how it is. I did previously also do some like little side projects and like Udacity courses on myself. Those were my first kind of professional experience. "
3:19,Sanyam Bhutani,"Okay. Got it. So before we talk about swift for TensorFlow, could you tell us what so you have an interesting set of at university and program? Could you tell us, the listeners more about it, and what internships requirements do you have? Because you mentioned this and it's pretty interesting to me at least."
3:36,Bart,"Sure. Yeah. So I go to the University of Waterloo in Canada, and with the University of Waterloo, I'm under I'm in the computer science co op program. And our device has a really intense co op program co op being just like internships [Okay} where we do six, four month internships and our undergrads additionally on our;"
3:59,Bart,"Ours is a five year undergrad because of the six internships. [Okay] So total like we did two years of internships and how it works is after the first year it's like you do four months of school and four months of co op four months of school four months of co op school co op school club all the way till you graduate. We have no summers off. [Okay] Sometimes it's sucks because like, Friday, I fly out on a Saturday. I stay home on Sunday and get moving back to school on Monday, or Tuesday. So that's like no, no breaks. "
3:56,Sanyam Bhutani,Interesting. But I'm sure the bills totally worth it at least maybe after you graduate.
4:33,Bart,"Yeah, definitely."
4:34,Sanyam Bhutani,TDo help us set a set the stage for swift for TensorFlow could you tell us how did you end up applying to Google and why did you end up choosing the sweet food TensorFlow project that you worked on.
4:44,Bart,"Sure so those are familiar with the Google intern hiring process. You apply to Google like as a general intern, you don't interview with a team you interview for like Google [okay] and it consists of like two interview two interviews like over the phone like 45 minutes each, which are just the basic data structures, algorithms. And then you get to know whether you pass that stage. And I passed that stage in July 2018. And I had to get an internship for the fall just because of the club, my car program had to get on a trip the fall. And I did not have enough time to find a team. As after you get accepted to Google and used to go through host matching, people's matching can take a while and I didn't have enough time to do it for the fall. So then my recruiter was like, let's just move this to the next term, so you can find an internship for the summer. So while I was doing my data science and their ship in San Francisco, I was going to post matching process and the first person to reach out to me was my host, Richard from Super TensorFlow and in total had to it to introduce the second one I wasn't too interested. It was like objective C iOS [I see] and and I didn't really want to go into back to iOS because I did that before. I will try some new what Richard was looking for was someone who had iOS experience who knew swift. And he was also interested in data science. And through my resume, he saw that I had both. And we talked and one of the big things I got, I think was convincing points was that I wasn't really during my data science and worship, I literally gained a huge I don't completely enjoy pure data science, like with the models, data pipelining all the sequel, you know, I really liked and was trying to look for position which has more like the software engineering, like creating frameworks, things of that nature. And I kind of told him, I was like, I don't like today's science, but I still have to be involved in this field. And that was kind of a perfect match for the project because that's what that's exactly what we're doing. We're kind of creating these tools for machine learning. Researchers instead, and that's already kind of found a match for that [Got it] like I've got the;"
6:54,Sanyam Bhutani,"To linger on to that point for a little longer. Could you tell us how did you prepare for the because I know the interviews are difficult, and the question might be under NDA. So generally speaking, how did you prepare for especially the data science and algo questions?"
7:10,Bart,"So with the like the data structure and algorithm so with the way dependence, but for when I was interviewing for the like, host faction, like kind of the team was not technical at all, it was just like me and potential hosts talking about like, oh, this the projects are interested in this do you know this would you;"
7:31,Sanyam Bhutani,More of a conversation rather than; 
7:32,Bart,"Yeah. However, the previous interviews, the one which is like that initial screening with the two interviews, that's pure data structures and algorithms. And what I've always practice was, a lot of my friends use like the typical cheat codes and practice neat codes. What I do is, I have this book called elements of programming interviews, specifically the Python version. And I like how it's basically it's sets of all these units like first it goes into string, manipulate questions and the res binary search, search recursion dynamic programming. And I generally go through the questions and read the solutions and understand the solutions as it very well sets up the solutions and the way that you actually want to answer in an interview like for example, it goes into the naive approach the brute force approach, discussing how would work why isn't efficient and then it kind of goes further like okay, how can we improve on this and create the better final solution which is the best and that's exactly what interviewers interviewers look for in an interview not so much they got the right answer, but can you explain how you got there? And it really kind of sets up well the solution so explain how she got there."
8:43,Sanyam Bhutani,"So I don't remember all of these topics. Do you think this also good beginner recommendation incase they are new to these terms, the book? "
8:51,Bart,"Uh, I think it's I actually went through that book even before I took some of the courses that even taught me at University ends. [Okay] It definitely doesn't. Like it's definitely not like heavy and like the theory, but it nicely kind of shows you like, how to implement it. And even the codes are really easy to learn. Like if nothing less than a programming through the book, you might be able to kind of really learn it. But also, it's you can pretty much search up on like geeks for geeks, which also has a bunch of explanations of what dynamic programming is and things like that. It's very good. beginner book, I got a mic night thing, my first car as well."
9:29,Sanyam Bhutani,"Okay, I'll make sure to have it linked in the description in case anyone wants to check it out. Now, coming back to your internship, before we talk about what you worked on, could you help me set the stage by telling us what swift for TensorFlow is all about? And what promise does it hold in your opinion?"
9:45,Bart,"Sure. So I like to think of like so as far as like, I think what the key manager of Brighton always comes that says we want to create an infinitely hackable platform. [Yeah] In a sense of the weight, the current data science Machine Learning ecosystem is is you have this very like thin Python layer, and then just a bunch of c++ code underneath. And c++ can be very complicated to write. And even through my internships, talk to people who write c++ code at Google, they're hard to find a person who really enjoys ranks. And and what's swift trying to come and do is you're going to break the top layer and swift and every layer underneath and swift. It's entirely in swift. So if you, for example, wanted to write your own layer, or you wanted to look at implementation, you just simply like command click and go to definition. And that automatically puts you the definition of where this where the competition layer is defined. And you can exactly look through it. And you don't need to learn a new language and understand any more context because it's hard to jump to the Python code and c++ because they need to get familiar with the c++ code but with swift, all in one hands. [Yeah] And additionally surpass the benefits of being just as fast c++, it's statically typed on like Python. So it's all typed checks are not gonna have like some error three hours in saying your pass the string, and they're trying to add a string, and then it's your three hours of training or something like that. [Yeah] Additionally, one of the goals that I think I was working on was also was making the first differentiable programming language. So being able to just take derivatives of any arbitrary function."
11:24,Sanyam Bhutani,"Got it. But one of the things that I sort of am concerned about is c++. It's maybe okay for researchers, but really, for the practitioners who don't have a programming background, they're comfortable with Python right now, do you think swift would be easy for them to pick up or that might be sort of a challenge for them?"
11:44,Bart,"So I think the what I think the biggest that people are most excited about, I think, the super technical project, I think it's like two groups, iOS developers, and some of the people who are implementing like the c++ code. The people are the reason why is first for iOS developers, the way you write models or iOS apps isn't very smooth in that you start to write your Python models, train your Python models, export it, and then basically just dump it into the, your iOS application. And with TensorFlow, you can write the entire model in Swift, put it on your iOS app, and you can do on device training and all that. Similarly, c++ developers are excited because it's no more c++. The Python, I think, is gonna be some trouble mainly because it's, it's not as like, he's not as easy to read mainly because it's statically typed. However, it's ignored like this, how it the fact that he has types it can be just as easy as writing Python codes. Additionally, because swift is known as primarily a iOS, Mac OS, programming language, and even though still general purpose and it works on Windows, even works on Android. I didn't know that it's it's yeah, work than enjoy as well. There's someone opens up computer, we're supporting that. The problem is that there's not a big, I guess, data science community behind it. And as such, some of the libraries that exist in Python like NumPy, matplotlib, escolar, Pandas doesn't exist yet in swift. [Swift] And as such, it's hard for I think, right now, Python people to move over to swift just because they're the community is not there. However, over time, I think we can really build a community especially once we get this differentiable programming feature into the swift programming language."
13:40,Sanyam Bhutani,"Also, given the promise, do you envision that developing the Pandas and NumPy analog would be easy compared to the efforts that it took for Python? Once swift reaches that stage, of course."
13:55,Bart,"I'm not I'm not too sure. But like just the I think just the fact that like I'm not sure what Pandas final NumPy for sure is implemented all in like, see, it could be easier because again, like with swift, it could be just as fast as C or c++ code. It could be much faster to implement, of course, though, those libraries have been working on for many years. So it could take some time to increase. really bring it up to today. Yeah, I really think the c++ and swift developers will use it will take some time to really convince those Python programmers to move over."
14:31,Sanyam Bhutani,"Got it. Now coming to the part of development that you're involved, could you speak to that and virtual aspects of the project were you involved in while you were interning at Google?"
14:42,Bart,"Sure. So I was working on like one of like the sub teams where we were basically making swift a special programming language so adding automatic differentiation into the compiler. And for those couple of familiar with like automatic differentiation, you can define your own function, let's say foo. Which takes an afloat outputs afloat. And all it does is that say returns x times x, you asked for the gradients, you asked for the derivative, and it will generate a function at compile time, which is the derivative function, or it will be the function that gives you the gradients. So, I was working on a couple aspects of that, because when I was coming to my internship, I didn't really know compilers and also how to create this, like how trade libraries and I literally came from a background of being a complete consumer of libraries and never even worked in compilers. I started off working on making standard library types differentiable. So in swift, there's a type called ??, and which is kind of like this fast vector that can execute really quickly on processors. [Okay] So made that differentiable. I was also making complex numbers differentiable, because we don't investigate how the complex numbers behave in our system because there's a bit of intricacies to whether a complex number or complex function can be differentiated. specifically regarding Koshi rain equations, [Okay] and then I kind of went into the compiler work. And one of the things that we want to do with our kind of final system is have functions defined as differentials. So like if you have a function x, hence why the differential is dx times y plus d y times x, because in our implementation, you define all these primitive derivatives. But the thing is that that's kinda like this forward modes differentiation. However, for example, in backpropagation, with neural networks, you use reverse no differentiation where basically you are have the scalar loss, and you're taking the river backwards, because with four mo you can think of if you have a function x, y, z and output some a you're taking in four modes of respect to x, respect to y, z. What reverse mode You just take the reverse back to eight your output and one pass it gives you the reverse. So but the thing is reverse could be too hard to understand. So what we implement are these things called the transposes, [Okay] which are like the are like the transportable functions. to kind of explain what half transportable functions are is, they're basically like linear functions. If you have function, let's say y equals mx plus b, the derivative everywhere is m, it's at x equals a million x equals five, everybody's just M. And that's a linear function. And that's a transpose of function. But when you have something like the quadratic function, y equals x squared through this two x and the derivative, it's not the same everywhere. at x equals negative five, it's different than what it is that positive five. And that's not a transportable function, because it's depends on that original input. And what we can do is because the derivative is basically your tangents. Let's say if you have x squared, it's just the tangent line at some point. This is a linear line. And what we can do is we take that function which is linear, because it's just a straight line tangent, we can reverse or transpose it. And by transmitting all these linear functions, we can get the reverse mode and the reverse, but we get a really efficient backpropagation for your neural networks. So what I was adding was I was adding the type checking for whether a function can be marked as different mark as transportable with respect to all these different variables. And because the function should function signatures can change, like if you have a function x, which takes in the float opposite flow and just does x plus y, let's say, you know, the respectable or sorry, the transpose respect to both inputs is a function which takes one input and two outputs with back to just one of them. It just takes two inputs and one output still, its respective just a single input. So it's doing some attaching their [Got it] and finally, I was working on implementing the four modes eight because at that point, we only had reverse mode ad, mainly because we wanted that efficient gradients calculations for the backpropagation of your the neural network models. But we want for mode because it's just more intuitive and easier to understand for users and people who would use swift in other areas other than deep learning wants to use it and like ray tracing or something like that. So I was implemented at the forward modes, which basically is looking at the original program and spitting out the differential. I have I think I probably some news after I have a couple of, I think, resources to anyone interested in how I implemented this. I did I think a one of the open design meetings I presented the implement the implementation details of how forward mode works. And additionally in there I explained as well how control flow works as control flow can be a bit difficult. And that was really my final cut projects was just a about stuff. And yeah, there's still a lot more work to do."
